2024-05-30 16:23:10,777 - Total number of samples: 875
2024-05-30 16:23:13,812 - Epoch: 1
2024-05-30 16:23:13,813 - Current Learning Rate: [0.01]
2024-05-30 16:23:15,627 - Batch [1 / 27], Loss: 108.364113
2024-05-30 16:23:16,242 - Batch [2 / 27], Loss: 98.446762
2024-05-30 16:23:16,845 - Batch [3 / 27], Loss: 117.795799
2024-05-30 16:23:17,452 - Batch [4 / 27], Loss: 99.920700
2024-05-30 16:23:18,060 - Batch [5 / 27], Loss: 114.084045
2024-05-30 16:23:18,659 - Batch [6 / 27], Loss: 108.723541
2024-05-30 16:23:19,267 - Batch [7 / 27], Loss: 108.720810
2024-05-30 16:23:19,877 - Batch [8 / 27], Loss: 97.030983
2024-05-30 16:23:20,474 - Batch [9 / 27], Loss: 102.509468
2024-05-30 16:23:21,080 - Batch [10 / 27], Loss: 87.018898
2024-05-30 16:23:21,680 - Batch [11 / 27], Loss: 85.351982
2024-05-30 16:23:22,288 - Batch [12 / 27], Loss: 109.822502
2024-05-30 16:23:22,896 - Batch [13 / 27], Loss: 99.481430
2024-05-30 16:23:23,495 - Batch [14 / 27], Loss: 96.484108
2024-05-30 16:23:24,104 - Batch [15 / 27], Loss: 95.897736
2024-05-30 16:23:24,703 - Batch [16 / 27], Loss: 76.718483
2024-05-30 16:23:25,311 - Batch [17 / 27], Loss: 98.253181
2024-05-30 16:23:25,919 - Batch [18 / 27], Loss: 94.911613
2024-05-30 16:23:26,520 - Batch [19 / 27], Loss: 110.060661
2024-05-30 16:23:27,129 - Batch [20 / 27], Loss: 78.381470
2024-05-30 16:23:27,740 - Batch [21 / 27], Loss: 77.624931
2024-05-30 16:23:28,338 - Batch [22 / 27], Loss: 62.435726
2024-05-30 16:23:28,949 - Batch [23 / 27], Loss: 92.672165
2024-05-30 16:23:29,549 - Batch [24 / 27], Loss: 78.700592
2024-05-30 16:23:30,160 - Batch [25 / 27], Loss: 96.812393
2024-05-30 16:23:30,770 - Batch [26 / 27], Loss: 82.318588
2024-05-30 16:23:31,369 - Batch [27 / 27], Loss: 82.686996
2024-05-30 16:23:31,394 - Epoch Time: 0.2930107752482096 minutes
2024-05-30 16:23:31,394 - Epoch: 2
2024-05-30 16:23:31,394 - Current Learning Rate: [0.01]
2024-05-30 16:23:31,976 - Batch [1 / 27], Loss: 78.835724
2024-05-30 16:23:32,577 - Batch [2 / 27], Loss: 74.645943
2024-05-30 16:23:33,187 - Batch [3 / 27], Loss: 87.019844
2024-05-30 16:23:33,792 - Batch [4 / 27], Loss: 69.670204
2024-05-30 16:23:34,402 - Batch [5 / 27], Loss: 69.606865
2024-05-30 16:23:35,012 - Batch [6 / 27], Loss: 57.033707
2024-05-30 16:23:35,611 - Batch [7 / 27], Loss: 67.024117
2024-05-30 16:23:36,230 - Batch [8 / 27], Loss: 69.736504
2024-05-30 16:23:36,839 - Batch [9 / 27], Loss: 61.240162
2024-05-30 16:23:37,449 - Batch [10 / 27], Loss: 59.968819
2024-05-30 16:23:38,049 - Batch [11 / 27], Loss: 51.551094
2024-05-30 16:23:38,661 - Batch [12 / 27], Loss: 52.397751
2024-05-30 16:23:39,261 - Batch [13 / 27], Loss: 47.760517
2024-05-30 16:23:39,871 - Batch [14 / 27], Loss: 60.424309
2024-05-30 16:23:40,481 - Batch [15 / 27], Loss: 45.576092
2024-05-30 16:23:41,084 - Batch [16 / 27], Loss: 50.417412
2024-05-30 16:23:41,695 - Batch [17 / 27], Loss: 46.848782
2024-05-30 16:23:42,309 - Batch [18 / 27], Loss: 52.332485
2024-05-30 16:23:42,909 - Batch [19 / 27], Loss: 54.395420
2024-05-30 16:23:43,519 - Batch [20 / 27], Loss: 41.062027
2024-05-30 16:23:44,123 - Batch [21 / 27], Loss: 43.115864
2024-05-30 16:23:44,733 - Batch [22 / 27], Loss: 41.990765
2024-05-30 16:23:45,345 - Batch [23 / 27], Loss: 39.483921
2024-05-30 16:23:45,947 - Batch [24 / 27], Loss: 41.468536
2024-05-30 16:23:46,557 - Batch [25 / 27], Loss: 35.912964
2024-05-30 16:23:47,162 - Batch [26 / 27], Loss: 37.892803
2024-05-30 16:23:47,772 - Batch [27 / 27], Loss: 36.702320
2024-05-30 16:23:47,799 - Epoch Time: 0.2734070777893066 minutes
2024-05-30 16:23:47,799 - Epoch: 3
2024-05-30 16:23:47,799 - Current Learning Rate: [0.01]
2024-05-30 16:23:48,384 - Batch [1 / 27], Loss: 33.289330
2024-05-30 16:23:48,987 - Batch [2 / 27], Loss: 32.730751
2024-05-30 16:23:49,605 - Batch [3 / 27], Loss: 32.836189
2024-05-30 16:23:50,216 - Batch [4 / 27], Loss: 30.837669
2024-05-30 16:23:50,821 - Batch [5 / 27], Loss: 37.275055
2024-05-30 16:23:51,434 - Batch [6 / 27], Loss: 36.929745
2024-05-30 16:23:52,040 - Batch [7 / 27], Loss: 30.986532
2024-05-30 16:23:52,647 - Batch [8 / 27], Loss: 31.126225
2024-05-30 16:23:53,264 - Batch [9 / 27], Loss: 31.067863
2024-05-30 16:23:53,864 - Batch [10 / 27], Loss: 30.013123
2024-05-30 16:23:54,480 - Batch [11 / 27], Loss: 24.318211
2024-05-30 16:23:55,090 - Batch [12 / 27], Loss: 22.992195
2024-05-30 16:23:55,695 - Batch [13 / 27], Loss: 27.371889
2024-05-30 16:23:56,304 - Batch [14 / 27], Loss: 24.332554
2024-05-30 16:23:56,907 - Batch [15 / 27], Loss: 25.675817
2024-05-30 16:23:57,520 - Batch [16 / 27], Loss: 24.791498
2024-05-30 16:23:58,137 - Batch [17 / 27], Loss: 21.572723
2024-05-30 16:23:58,743 - Batch [18 / 27], Loss: 22.306639
2024-05-30 16:23:59,354 - Batch [19 / 27], Loss: 22.913454
2024-05-30 16:23:59,969 - Batch [20 / 27], Loss: 20.993139
2024-05-30 16:24:00,573 - Batch [21 / 27], Loss: 18.004738
2024-05-30 16:24:01,188 - Batch [22 / 27], Loss: 16.885303
2024-05-30 16:24:01,793 - Batch [23 / 27], Loss: 23.966518
2024-05-30 16:24:02,406 - Batch [24 / 27], Loss: 22.457281
2024-05-30 16:24:03,018 - Batch [25 / 27], Loss: 17.210018
2024-05-30 16:24:03,620 - Batch [26 / 27], Loss: 20.041147
2024-05-30 16:24:04,233 - Batch [27 / 27], Loss: 17.618399
2024-05-30 16:24:04,258 - Epoch Time: 0.2743206262588501 minutes
2024-05-30 16:24:04,258 - Epoch: 4
2024-05-30 16:24:04,258 - Current Learning Rate: [0.01]
2024-05-30 16:24:04,845 - Batch [1 / 27], Loss: 18.140755
2024-05-30 16:24:05,447 - Batch [2 / 27], Loss: 15.879521
2024-05-30 16:24:06,059 - Batch [3 / 27], Loss: 20.194269
2024-05-30 16:24:06,661 - Batch [4 / 27], Loss: 19.443827
2024-05-30 16:24:07,274 - Batch [5 / 27], Loss: 20.973217
2024-05-30 16:24:07,887 - Batch [6 / 27], Loss: 16.631285
2024-05-30 16:24:08,491 - Batch [7 / 27], Loss: 16.374552
2024-05-30 16:24:09,103 - Batch [8 / 27], Loss: 16.242565
2024-05-30 16:24:09,715 - Batch [9 / 27], Loss: 16.211660
2024-05-30 16:24:10,319 - Batch [10 / 27], Loss: 16.887928
2024-05-30 16:24:10,930 - Batch [11 / 27], Loss: 15.068606
2024-05-30 16:24:11,543 - Batch [12 / 27], Loss: 16.482330
2024-05-30 16:24:12,148 - Batch [13 / 27], Loss: 14.676299
2024-05-30 16:24:12,761 - Batch [14 / 27], Loss: 16.954073
2024-05-30 16:24:13,365 - Batch [15 / 27], Loss: 17.279589
2024-05-30 16:24:13,977 - Batch [16 / 27], Loss: 14.642678
2024-05-30 16:24:14,590 - Batch [17 / 27], Loss: 12.788752
2024-05-30 16:24:15,194 - Batch [18 / 27], Loss: 15.591485
2024-05-30 16:24:15,806 - Batch [19 / 27], Loss: 15.670252
2024-05-30 16:24:16,420 - Batch [20 / 27], Loss: 12.876482
2024-05-30 16:24:17,024 - Batch [21 / 27], Loss: 14.916087
2024-05-30 16:24:17,637 - Batch [22 / 27], Loss: 14.398499
2024-05-30 16:24:18,240 - Batch [23 / 27], Loss: 14.072921
2024-05-30 16:24:18,857 - Batch [24 / 27], Loss: 14.310052
2024-05-30 16:24:19,470 - Batch [25 / 27], Loss: 13.027137
2024-05-30 16:24:20,074 - Batch [26 / 27], Loss: 12.699266
2024-05-30 16:24:20,686 - Batch [27 / 27], Loss: 14.816278
2024-05-30 16:24:20,710 - Epoch Time: 0.274196461836497 minutes
2024-05-30 16:24:20,710 - Epoch: 5
2024-05-30 16:24:20,710 - Current Learning Rate: [0.01]
2024-05-30 16:24:21,291 - Batch [1 / 27], Loss: 14.189014
2024-05-30 16:24:21,903 - Batch [2 / 27], Loss: 18.900969
2024-05-30 16:24:22,518 - Batch [3 / 27], Loss: 13.365568
2024-05-30 16:24:23,130 - Batch [4 / 27], Loss: 17.633875
2024-05-30 16:24:23,735 - Batch [5 / 27], Loss: 13.561494
2024-05-30 16:24:24,343 - Batch [6 / 27], Loss: 14.674329
2024-05-30 16:24:24,951 - Batch [7 / 27], Loss: 15.079455
2024-05-30 16:24:25,554 - Batch [8 / 27], Loss: 14.726259
2024-05-30 16:24:26,163 - Batch [9 / 27], Loss: 13.019410
2024-05-30 16:24:26,770 - Batch [10 / 27], Loss: 14.126177
2024-05-30 16:24:27,375 - Batch [11 / 27], Loss: 12.794538
2024-05-30 16:24:27,983 - Batch [12 / 27], Loss: 12.284664
2024-05-30 16:24:28,591 - Batch [13 / 27], Loss: 15.481184
2024-05-30 16:24:29,192 - Batch [14 / 27], Loss: 14.633002
2024-05-30 16:24:29,804 - Batch [15 / 27], Loss: 13.247108
2024-05-30 16:24:30,414 - Batch [16 / 27], Loss: 13.390509
2024-05-30 16:24:31,021 - Batch [17 / 27], Loss: 13.932258
2024-05-30 16:24:31,630 - Batch [18 / 27], Loss: 14.436796
2024-05-30 16:24:32,235 - Batch [19 / 27], Loss: 16.883780
2024-05-30 16:24:32,841 - Batch [20 / 27], Loss: 13.089322
2024-05-30 16:24:33,448 - Batch [21 / 27], Loss: 12.054926
2024-05-30 16:24:34,052 - Batch [22 / 27], Loss: 11.388280
